"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.162325655,6.674337149,48,53,6,102,"F"
3.162325868,6.674319151,48,53,6,104,"F"
3.162325975,6.674310152,48,53,6,104,"F"
3.162326296,6.674283155,48,53,6,107,"F"
3.162335618,6.674256266,48,53,6,109,"F"
3.162335725,6.674247267,48,53,6,109,"F"
3.162335832,6.674238268,48,53,6,110,"F"
3.162335939,6.674229269,48,53,6,111,"F"
3.162336045,6.67422027,48,53,6,112,"F"
3.162336152,6.674211271,48,53,6,113,"F"
3.162336259,6.674202273,48,53,6,114,"F"
3.162345581,6.674175383,48,53,6,116,"F"
3.162345902,6.674148386,48,53,6,118,"F"
3.162346009,6.674139387,48,53,6,119,"F"
3.162346222,6.67412139,48,53,6,121,"F"
3.162346329,6.674112391,49,53,6,122,"F"
3.162355544,6.6740945,49,53,6,123,"F"
3.162355651,6.674085501,49,53,6,124,"F"
3.162355758,6.674076502,49,53,6,125,"F"
3.162355865,6.674067503,49,53,6,126,"F"
3.162355972,6.674058505,49,53,6,127,"F"
3.162356185,6.674040507,49,53,6,128,"F"
3.162356292,6.674031508,49,53,6,129,"F"
3.162356399,6.674022509,49,53,6,130,"F"
3.162356506,6.67401351,49,53,6,131,"F"
3.162356613,6.674004511,49,53,6,132,"F"
3.162365614,6.674004618,49,53,6,132,"F"
3.162365828,6.673986621,49,53,6,133,"F"
3.162365935,6.673977622,49,53,6,134,"F"
3.162366148,6.673959624,49,53,6,136,"F"
3.162366255,6.673950625,49,53,6,137,"F"
3.162366469,6.673932627,49,53,6,139,"F"
3.162366576,6.673923629,49,53,6,140,"F"
3.162375791,6.673905738,49,53,6,141,"F"
3.162375898,6.673896739,49,53,6,142,"F"
3.162376004,6.67388774,49,53,6,143,"F"
3.162376111,6.673878741,50,53,6,144,"F"
3.162376218,6.673869742,50,53,6,145,"F"
3.162376325,6.673860743,50,53,6,146,"F"
3.162376432,6.673851745,50,53,6,147,"F"
3.162376753,6.673824748,50,53,6,149,"F"
3.162385861,6.673815856,50,53,6,150,"F"
3.162386074,6.673797858,50,53,6,152,"F"
3.162386181,6.673788859,50,53,6,153,"F"
3.162386395,6.673770862,50,53,6,155,"F"
3.162386609,6.673752864,50,53,6,157,"F"
3.162386716,6.673743865,50,53,6,157,"F"
3.16239593,6.673725974,50,53,6,159,"F"
3.162396037,6.673716975,50,53,6,160,"F"
3.162396251,6.673698978,50,53,6,162,"E"
3.162396358,6.673689979,50,53,6,163,"E"
3.162396465,6.67368098,50,53,6,164,"E"
3.162396572,6.673671981,50,53,6,165,"E"
3.162396679,6.673662982,50,53,6,166,"E"
3.162405893,6.673645091,50,53,6,167,"F"
3.162406,6.673636093,50,53,6,168,"F"
3.162406214,6.673618095,50,53,6,170,"F"
3.162406321,6.673609096,50,53,6,171,"F"
3.162406428,6.673600097,50,53,6,172,"F"
3.162406535,6.673591098,50,53,6,173,"F"
3.162415642,6.673582206,50,53,6,174,"F"
3.162415963,6.67355521,51,53,16,176,"F"
3.16241607,6.673546211,51,53,16,177,"G"
3.162416177,6.673537212,51,53,16,178,"G"
3.162416284,6.673528213,51,53,16,179,"F"
3.162425498,6.673510322,51,53,6,181,"F"
3.162425605,6.673501323,51,53,6,182,"F"
3.162425712,6.673492325,51,53,6,183,"F"
3.162425926,6.673474327,51,53,6,185,"F"
3.162426247,6.67344733,51,53,6,188,"G"
3.162435247,6.673447437,51,53,6,187,"F"
3.162435461,6.673429439,51,53,6,189,"F"
3.162435568,6.67342044,51,53,6,190,"F"
3.162435675,6.673411442,51,53,6,191,"F"
3.162435889,6.673393444,51,53,6,193,"F"
3.162436103,6.673375446,51,53,6,195,"F"
3.162445103,6.673375553,51,53,6,195,"F"
3.16244521,6.673366554,51,53,6,196,"F"
3.162445317,6.673357555,51,53,6,197,"E"
3.162445531,6.673339558,51,53,6,199,"E"
3.162445852,6.673312561,51,53,6,202,"F"
3.162445959,6.673303562,51,53,6,203,"F"
3.162455173,6.673285671,51,53,6,204,"F"
3.16245528,6.673276672,51,53,6,205,"F"
3.162455387,6.673267674,51,53,6,206,"F"
3.162455601,6.673249676,51,53,6,208,"F"
3.162455815,6.673231678,51,53,6,210,"F"
3.162455922,6.673222679,52,53,6,211,"F"
3.162456029,6.67321368,52,53,6,212,"F"
3.162456243,6.673195683,52,53,6,214,"F"
3.162465243,6.67319579,52,53,6,214,"F"
3.16246535,6.673186791,52,53,6,215,"F"
3.162465564,6.673168793,52,53,6,217,"F"
3.162465671,6.673159794,52,53,6,218,"G"
3.162465885,6.673141796,52,53,6,220,"G"
3.162465992,6.673132797,52,53,6,221,"F"
3.162466099,6.673123799,52,53,6,222,"F"
3.162466205,6.6731148,52,53,6,223,"F"
3.162466312,6.673105801,52,53,6,224,"F"
3.16247542,6.673096909,52,53,6,224,"G"
3.162475527,6.67308791,52,53,6,225,"G"
3.162475634,6.673078911,52,53,6,226,"G"
3.162475847,6.673060913,52,53,6,228,"G"
3.162475954,6.673051915,52,53,6,229,"F"
3.162476275,6.673024918,52,53,6,232,"F"
3.162476382,6.673015919,52,53,6,233,"F"
3.162485596,6.672998028,52,53,6,235,"F"
3.162485917,6.672971032,52,53,6,238,"F"
3.162486131,6.672953034,52,54,6,240,"E"
3.162486238,6.672944035,52,54,6,241,"E"
3.162495559,6.672917145,53,54,6,244,"F"
3.162495773,6.672899148,53,54,6,245,"F"
3.16249588,6.672890149,53,54,6,246,"F"
3.162496094,6.672872151,53,54,6,248,"F"
3.162496308,6.672854153,53,54,6,250,"F"
3.162505415,6.672845261,53,54,6,251,"F"
3.162505629,6.672827264,53,54,6,253,"F"
3.162505736,6.672818265,53,54,6,254,"F"
3.16250595,6.672800267,53,54,6,256,"F"
3.162506057,6.672791268,53,54,6,257,"G"
3.162506164,6.672782269,53,54,6,258,"G"
3.162506271,6.67277327,53,54,6,259,"G"
3.162506378,6.672764272,53,54,6,260,"F"
3.162515378,6.672764378,53,54,6,260,"F"
3.162515592,6.672746381,53,54,6,262,"F"
3.162515699,6.672737382,53,54,6,263,"F"
3.162515806,6.672728383,53,54,6,264,"F"
3.162515913,6.672719384,53,54,6,265,"F"
3.162516019,6.672710385,53,54,6,266,"F"
3.162516126,6.672701386,53,54,6,267,"F"
3.162516233,6.672692387,53,54,6,268,"E"
3.16251634,6.672683389,53,54,6,269,"E"
3.162516447,6.67267439,53,54,6,270,"G"
3.162516661,6.672656392,53,54,6,272,"G"
3.162516768,6.672647393,53,54,6,273,"F"
3.162525982,6.672629502,53,54,6,275,"F"
3.162526089,6.672620503,53,54,6,276,"E"
3.162526303,6.672602506,53,54,6,278,"E"
3.16252641,6.672593507,53,54,6,279,"F"
3.162526624,6.672575509,53,54,6,281,"F"
3.162535945,6.672548619,53,54,6,283,"F"
3.162536266,6.672521623,53,54,6,286,"F"
3.162536587,6.672494626,53,54,6,289,"F"
3.162545801,6.672476735,53,54,6,291,"E"
3.162545908,6.672467736,53,54,6,292,"E"
3.162546122,6.672449739,53,54,6,294,"F"
3.162546229,6.67244074,54,54,6,295,"F"
3.162546442,6.672422742,54,54,6,297,"F"
3.162546549,6.672413743,54,54,6,298,"F"
3.162555764,6.672395852,54,54,6,300,"F"
3.16255587,6.672386854,54,54,6,301,"F"
3.162555977,6.672377855,54,54,6,302,"F"
3.162556084,6.672368856,54,54,6,303,"F"
3.162556405,6.672341859,54,54,6,306,"E"
3.162565512,6.672332967,54,54,6,307,"F"
3.162565619,6.672323968,54,54,6,308,"F"
3.162565726,6.67231497,54,54,6,309,"F"
3.16256594,6.672296972,54,54,6,311,"F"
3.162566154,6.672278974,54,54,6,313,"F"
3.162566261,6.672269975,54,54,6,314,"G"
3.162575475,6.672252084,54,54,6,316,"G"
3.162575582,6.672243085,54,54,6,317,"F"
3.162575689,6.672234087,54,54,6,318,"F"
3.162575796,6.672225088,54,54,6,319,"F"
3.16257601,6.67220709,55,54,6,321,"F"
3.162585224,6.672189199,55,54,6,322,"E"
3.162585331,6.6721802,55,54,6,323,"F"
3.162585438,6.672171201,55,54,6,324,"F"
3.162585545,6.672162203,55,54,6,325,"G"
3.162585759,6.672144205,55,54,6,327,"G"
3.162585972,6.672126207,55,54,6,329,"F"
3.162586079,6.672117208,55,54,6,330,"F"
3.162586186,6.672108209,55,54,6,331,"F"
3.162586293,6.67209921,55,54,6,332,"F"
3.162577507,6.672081106,55,54,6,334,"F"
3.162577613,6.672072107,55,54,6,335,"G"
3.16257772,6.672063108,55,54,6,336,"G"
3.162577827,6.672054109,55,54,6,337,"G"
3.162568934,6.672045003,55,54,6,339,"G"
3.16256004,6.672035898,55,54,6,340,"G"
3.162560147,6.672026899,55,54,6,341,"G"
3.162551147,6.672026792,55,54,6,341,"C"
3.162551254,6.672017793,55,54,6,342,"C"
3.162542253,6.672017686,55,54,6,342,"D"
3.162533253,6.672017579,55,54,6,342,"C"
3.16253336,6.67200858,55,54,6,343,"C"
3.16252436,6.672008473,55,54,6,343,"C"
3.162515359,6.672008367,55,54,6,343,"C"
3.162506359,6.67200826,55,54,6,343,"E"
3.162497358,6.672008153,55,54,6,343,"E"
3.162488358,6.672008046,55,54,6,344,"D"
3.162479358,6.672007939,55,54,6,344,"D"
3.162470357,6.672007832,55,54,6,344,"D"
3.162461357,6.672007725,55,54,6,344,"D"
3.162452356,6.672007618,55,54,6,344,"D"
3.162443249,6.67201651,54,54,6,343,"D"
3.162434249,6.672016403,54,54,6,343,"D"
3.162416248,6.672016189,54,54,6,344,"D"
3.16239814,6.672024975,54,54,6,343,"D"
3.16238914,6.672024868,54,54,6,343,"E"
3.162380139,6.672024761,54,54,6,343,"E"
3.162371139,6.672024654,54,54,6,344,"F"
3.162353138,6.67202444,54,54,6,344,"F"
3.162344031,6.672033332,54,54,6,343,"F"
3.162335031,6.672033225,54,54,6,343,"F"
3.16232603,6.672033118,54,54,6,344,"F"
3.162308029,6.672032904,54,54,6,344,"F"
3.162289922,6.672041689,53,54,6,343,"F"
3.162280921,6.672041583,53,54,6,344,"E"
3.162271921,6.672041476,53,54,6,344,"E"
3.162262921,6.672041369,53,54,6,344,"E"
3.16224492,6.672041155,53,54,6,344,"E"
3.162235919,6.672041048,53,54,6,345,"F"
3.162226919,6.672040941,53,54,6,345,"F"
3.162217812,6.672049833,53,54,6,344,"F"
3.162199811,6.672049619,53,54,6,344,"F"
3.162190811,6.672049512,53,54,6,345,"F"
3.16217281,6.672049299,53,54,6,345,"F"
3.162154702,6.672058084,53,54,6,345,"F"
3.162145702,6.672057977,53,54,6,345,"G"
3.162127701,6.672057763,52,54,6,345,"G"
3.162109593,6.672066548,52,54,6,345,"G"
3.162091592,6.672066334,52,53,6,345,"G"
3.162082592,6.672066227,52,53,6,346,"G"
3.162064484,6.672075012,52,53,6,345,"G"
3.162055484,6.672074905,52,53,6,346,"G"
3.162046484,6.672074798,52,53,6,346,"G"
3.162037483,6.672074691,52,53,6,346,"G"
3.162028483,6.672074585,52,53,6,346,"G"
3.162019482,6.672074478,52,53,6,347,"G"
3.162010482,6.672074371,52,53,6,347,"G"
3.162001482,6.672074264,52,53,6,347,"G"
3.161992481,6.672074157,52,53,6,348,"F"
3.161983481,6.67207405,52,53,6,348,"F"
3.16196548,6.672073836,52,53,6,348,"F"
3.16195648,6.672073729,52,53,6,349,"F"
3.161947479,6.672073622,52,53,6,349,"F"
3.161938479,6.672073515,52,53,6,349,"F"
3.161911478,6.672073195,52,53,6,350,"D"
3.161902477,6.672073088,52,53,6,351,"D"
3.161893477,6.672072981,52,53,6,351,"D"
3.161875476,6.672072767,51,53,6,352,"D"
3.161866476,6.67207266,51,53,6,352,"F"
3.161857476,6.672072553,51,53,6,352,"E"
3.161848475,6.672072446,51,53,6,353,"E"
3.161839475,6.672072339,51,53,6,353,"E"
3.161830474,6.672072232,51,53,6,353,"E"
3.161821474,6.672072126,51,53,6,354,"E"
3.161803473,6.672071912,51,53,6,354,"E"
3.161785473,6.672071698,51,53,6,355,"F"
3.161776472,6.672071591,51,53,6,355,"F"
3.161767472,6.672071484,51,53,6,356,"F"
3.161749364,6.672080269,51,53,6,355,"F"
3.161740364,6.672080162,51,53,6,356,"F"
3.161731363,6.672080055,51,53,6,356,"F"
3.161722363,6.672079948,51,53,6,356,"F"
3.161713256,6.67208884,51,53,6,356,"F"
3.161704255,6.672088733,51,53,6,356,"F"
3.161695255,6.672088626,51,53,6,357,"F"
3.161686254,6.67208852,51,53,6,357,"G"
3.161668147,6.672097305,51,53,6,357,"G"
3.161650146,6.672097091,51,53,6,358,"F"
3.161650039,6.67210609,51,53,6,357,"F"
3.161632038,6.672105876,51,53,6,358,"F"
3.161623038,6.672105769,51,53,6,358,"F"
3.161622931,6.672114768,51,53,6,357,"F"
3.16160493,6.672114554,51,53,6,358,"F"
3.161586823,6.672123339,51,52,6,358,"D"
3.161568822,6.672123125,51,52,6,359,"D"
3.161568715,6.672132124,51,52,6,358,"D"
3.161559714,6.672132017,51,52,6,358,"D"
3.161541607,6.672140802,51,52,6,358,"D"
3.161523499,6.672149587,50,52,6,358,"E"
3.161505391,6.672158372,50,52,6,358,"E"
3.161496391,6.672158265,50,52,6,358,"D"
3.161487284,6.672167157,50,52,6,358,"D"
3.161478283,6.67216705,50,52,6,358,"D"
3.161469176,6.672175942,50,52,6,358,"D"
3.161460069,6.672184834,50,52,6,357,"C"
3.161441961,6.672193619,50,52,6,357,"C"
3.161432854,6.672202511,50,52,6,357,"D"
3.161423746,6.672211403,50,52,6,357,"D"
3.161414746,6.672211296,50,52,6,357,"D"
3.161405639,6.672220188,50,52,6,357,"D"
3.161396638,6.672220081,50,52,6,357,"D"
3.161387531,6.672228973,50,52,6,357,"D"
3.161378424,6.672237865,50,52,6,356,"D"
3.161360316,6.67224665,50,52,6,356,"E"
3.161351209,6.672255542,50,52,6,356,"E"
3.161333101,6.672264327,50,52,6,356,"E"
3.161324101,6.67226422,50,52,6,356,"E"
3.161305886,6.672282004,50,52,6,356,"E"
3.161278671,6.672299681,50,52,6,356,"E"
3.161260563,6.672308466,50,52,6,356,"F"
3.161242349,6.672326249,50,52,6,355,"E"
3.161233348,6.672326142,50,52,6,356,"F"
3.161233241,6.672335141,50,52,6,355,"F"
3.161215134,6.672343926,50,52,6,355,"F"
3.161187919,6.672361603,49,52,6,355,"F"
3.161178811,6.672370495,49,52,6,354,"F"
3.161169811,6.672370388,49,52,6,355,"F"
3.161169704,6.672379387,49,52,6,354,"F"
3.161160703,6.67237928,49,52,6,355,"F"
3.161142489,6.672397064,49,52,6,354,"F"
3.161124381,6.672405849,49,51,6,354,"F"
3.161115274,6.672414741,49,51,6,354,"F"
3.161106166,6.672423633,49,51,6,354,"F"
3.161097166,6.672423526,49,51,6,354,"F"
3.161078951,6.67244131,49,51,4,354,"F"
3.161069951,6.672441203,49,51,4,354,"F"
3.161069844,6.672450202,49,51,4,354,"F"
3.161051736,6.672458987,49,51,4,354,"F"
3.161042736,6.67245888,49,51,4,355,"F"
3.161033629,6.672467771,49,51,4,354,"F"
3.161024628,6.672467665,49,51,4,355,"G"
3.161006414,6.672485448,49,51,4,355,"G"
3.160997413,6.672485341,49,51,4,355,"G"
3.160979199,6.672503125,48,51,4,355,"G"
3.160961091,6.67251191,48,51,4,355,"G"
3.160942983,6.672520695,48,51,4,356,"G"
3.160933876,6.672529587,48,51,4,355,"G"
3.160915661,6.672547371,48,51,4,355,"G"
3.160906661,6.672547264,48,51,4,356,"G"
3.160888553,6.672556049,48,51,4,356,"G"
3.160888446,6.672565048,48,51,4,355,"G"
3.160879446,6.672564941,48,51,4,356,"G"
3.160861231,6.672582725,48,51,4,356,"G"
3.160843123,6.67259151,48,51,4,356,"E"
3.160834016,6.672600402,48,52,4,356,"E"
3.160815908,6.672609186,48,52,4,357,"E"
3.160806908,6.67260908,48,52,4,357,"E"
3.160806801,6.672618078,48,52,4,356,"D"
3.160797694,6.67262697,48,52,4,356,"D"
3.160788693,6.672626863,48,52,4,357,"D"
3.160779693,6.672626756,48,52,4,358,"D"
3.160770586,6.672635648,48,52,4,358,"D"
3.160761478,6.67264454,48,52,4,358,"D"
3.160743371,6.672653325,48,52,4,358,"F"
3.160743264,6.672662324,48,52,4,357,"F"
3.160725156,6.672671109,48,51,4,358,"F"
3.160716156,6.672671002,48,51,4,359,"F"
3.160707048,6.672679894,48,51,4,359,"F"
3.160688941,6.672688679,47,51,4,359,"F"
3.160679833,6.672697571,47,51,4,359,"F"
3.160661725,6.672706356,47,51,4,360,"F"
3.160643511,6.672724139,47,51,4,360,"G"
3.16063451,6.672724033,47,51,4,360,"G"
3.160625403,6.672732924,47,51,6,360,"G"
3.160616296,6.672741816,47,51,6,360,"G"
3.160607295,6.672741709,47,51,6,361,"F"
3.160589081,6.672759493,47,51,6,361,"F"
3.160561866,6.67277717,47,52,6,362,"F"
3.160534758,6.672785848,47,52,6,363,"G"
3.160534651,6.672794847,47,52,6,363,"G"
3.16052565,6.67279474,47,52,6,363,"G"
3.160516543,6.672803632,47,52,6,363,"G"
3.160507542,6.672803525,47,52,6,364,"G"
3.160507436,6.672812524,47,52,6,363,"G"
3.160489328,6.672821309,47,52,6,364,"G"
3.160480327,6.672821202,47,52,6,365,"D"
3.160462113,6.672838985,47,52,6,365,"D"
3.160453112,6.672838878,47,52,6,366,"D"
3.160434898,6.672856662,47,51,6,366,"D"
3.160425897,6.672856555,47,51,6,367,"D"
3.16041679,6.672865447,47,51,6,367,"D"
3.16040779,6.67286534,47,51,6,368,"D"
3.160407683,6.672874339,47,51,6,367,"D"
3.160398682,6.672874232,47,51,6,368,"D"
3.160389575,6.672883124,47,51,6,368,"D"
3.160371467,6.672891909,47,51,6,369,"F"
3.160362467,6.672891802,47,51,6,369,"F"
3.160344252,6.672909586,47,51,6,370,"F"
3.160335252,6.672909479,47,51,6,370,"F"
3.160335145,6.672918478,47,51,6,370,"F"
3.160308037,6.672927156,47,51,6,371,"F"
3.160298929,6.672936047,47,51,6,372,"F"
3.160289822,6.672944939,47,51,6,372,"F"
3.160280822,6.672944832,47,51,6,373,"F"
3.160262607,6.672962616,47,51,6,373,"F"
3.160253607,6.672962509,47,51,6,374,"F"
3.160244499,6.672971401,47,51,6,374,"F"
3.160235499,6.672971294,47,51,6,375,"F"
3.160235392,6.672980293,47,51,6,374,"F"
3.160208284,6.672988971,47,51,6,376,"F"
3.160190069,6.673006755,47,51,6,376,"F"
3.160171961,6.673015539,47,51,6,377,"F"
3.160162854,6.673024431,47,51,6,377,"F"
3.160144746,6.673033216,47,51,6,378,"F"
3.160135639,6.673042108,47,51,6,379,"F"
3.160117531,6.673050893,47,51,6,380,"F"
3.160108424,6.673059785,47,51,6,380,"F"
3.160099317,6.673068677,47,51,6,380,"F"
3.160090316,6.67306857,47,51,6,381,"F"
3.160081209,6.673077462,47,51,6,381,"F"
3.160072101,6.673086354,47,51,6,381,"F"
3.160063101,6.673086247,47,51,6,382,"G"
3.160053994,6.673095138,47,51,6,382,"G"
3.160044993,6.673095031,47,51,6,383,"G"
3.160044886,6.67310403,47,51,6,383,"G"
3.160026779,6.673112815,47,51,6,384,"G"
3.160017778,6.673112708,47,51,6,385,"G"
3.159999671,6.673121493,47,51,6,386,"G"
3.159999564,6.673130492,47,51,6,385,"G"
3.159981456,6.673139277,47,51,6,386,"G"
3.159972455,6.67313917,47,51,6,387,"G"
3.159963348,6.673148062,47,51,6,387,"G"
3.159954241,6.673156954,47,51,6,388,"G"
3.159945133,6.673165846,47,51,6,388,"G"
3.159936133,6.673165739,47,51,6,389,"G"
3.159927026,6.67317463,47,51,6,389,"G"
3.159918025,6.673174523,47,51,6,390,"G"
3.159908918,6.673183415,47,51,6,390,"G"
3.159899811,6.673192307,47,51,6,391,"D"
3.159890703,6.673201199,47,51,6,391,"C"
3.159881703,6.673201092,47,51,6,392,"C"
3.159881596,6.673210091,47,51,6,391,"C"
3.159872596,6.673209984,47,51,6,392,"D"
3.159863488,6.673218876,47,51,6,393,"D"
3.159863381,6.673227875,47,51,6,392,"D"
3.159854274,6.673236766,47,51,6,392,"F"
3.159845273,6.673236659,47,51,6,393,"F"
3.159845166,6.673245658,47,51,6,393,"F"
3.159836059,6.67325455,47,51,6,393,"F"
3.159835952,6.673263549,47,51,6,393,"F"
3.159826952,6.673263442,47,51,6,393,"F"
3.159826845,6.673272441,47,51,6,393,"F"
3.159826631,6.673290438,47,51,6,392,"F"
3.159826524,6.673299437,47,51,6,391,"F"
3.159826417,6.673308436,47,51,6,391,"E"
3.15982631,6.673317435,47,51,6,390,"E"
3.159835203,6.673326541,47,51,6,389,"G"
3.159835096,6.67333554,47,51,6,389,"F"
3.15984399,6.673344645,47,51,6,387,"F"
3.159852883,6.673353751,47,51,6,386,"E"
3.159852669,6.673371749,47,51,6,385,"F"
3.159861669,6.673371856,47,51,6,384,"F"
3.159870563,6.673380962,47,51,6,383,"F"
3.159879349,6.673399066,47,51,6,381,"F"
3.159888243,6.673408172,47,51,6,380,"G"
3.159888136,6.673417171,47,51,6,379,"F"
3.159897029,6.673426277,47,51,6,378,"F"
3.159905815,6.673444381,47,51,6,376,"F"
3.159923602,6.673462593,47,51,6,373,"F"
3.159932389,6.673480697,47,51,6,371,"G"
3.159941175,6.673498802,47,51,6,370,"F"
3.159950068,6.673507908,47,51,6,368,"F"
3.159958962,6.673517014,47,50,6,367,"F"
3.159958855,6.673526013,47,50,6,366,"F"
3.159967748,6.673535118,47,50,6,365,"F"
3.159967641,6.673544117,47,50,6,365,"F"
3.159976534,6.673553223,47,50,6,363,"F"
3.159985428,6.673562329,47,50,6,362,"F"
3.159985321,6.673571328,47,50,6,361,"G"
3.159994107,6.673589432,47,50,6,360,"G"
3.160002894,6.673607537,47,50,6,358,"F"
3.160011787,6.673616643,47,50,6,356,"F"
3.16001168,6.673625641,47,50,6,356,"F"
3.160020573,6.673634747,47,50,6,355,"F"
3.160029467,6.673643853,47,50,6,353,"F"
3.16002936,6.673652852,47,50,6,353,"F"
3.160047147,6.673671064,47,50,6,350,"F"
3.16004704,6.673680062,47,50,6,350,"F"
3.160055933,6.673689168,47,50,6,348,"F"
3.160055826,6.673698167,47,50,6,348,"F"
3.160064612,6.673716272,47,50,6,346,"F"
3.160073506,6.673725377,47,50,6,345,"F"
3.160082399,6.673734483,47,50,6,344,"F"
3.160091293,6.673743589,47,50,6,342,"F"
3.160100079,6.673761694,47,50,6,341,"F"
3.160099972,6.673770692,47,50,6,340,"F"
3.160108758,6.673788797,47,50,6,338,"F"
3.160117759,6.673788904,47,50,6,338,"F"
3.160126545,6.673807009,47,50,6,336,"F"
3.160126438,6.673816008,47,50,6,335,"F"
3.160135332,6.673825113,47,50,6,334,"F"
3.160153118,6.673843325,47,50,6,331,"F"
3.160153011,6.673852324,47,50,6,331,"F"
3.160161905,6.67386143,47,50,6,330,"F"
3.160170798,6.673870535,47,50,6,328,"F"
3.160170691,6.673879534,47,50,6,328,"F"
3.160188478,6.673897746,47,50,6,325,"F"
3.160188371,6.673906745,47,50,6,325,"F"
3.160197157,6.673924849,47,50,6,323,"F"
3.160214944,6.673943061,47,50,6,321,"G"
3.160214837,6.67395206,47,50,6,320,"G"
3.160232624,6.673970271,47,50,6,318,"G"
3.160232517,6.67397927,47,50,6,317,"G"
3.16024141,6.673988376,47,50,6,316,"G"
3.160241303,6.673997375,47,50,6,316,"G"
3.160250197,6.674006481,46,50,6,314,"G"
3.160258983,6.674024585,46,50,6,313,"G"
3.160258876,6.674033584,46,50,6,312,"G"
3.16026777,6.67404269,46,50,6,311,"G"
3.160276663,6.674051796,46,50,6,310,"F"
3.160285449,6.6740699,46,50,6,308,"F"
3.160285342,6.674078899,46,50,6,308,"F"
3.160303129,6.674097111,46,50,6,305,"F"
3.160303022,6.67410611,46,50,6,305,"F"
3.160311916,6.674115215,46,50,6,304,"F"
3.160311809,6.674124214,46,50,6,303,"F"
3.160320809,6.674124321,46,50,6,302,"F"
3.160329595,6.674142426,46,50,6,301,"F"
3.160329489,6.674151425,46,50,6,300,"F"
3.160338275,6.674169529,46,50,6,299,"F"
3.160347168,6.674178635,46,50,6,297,"F"
3.160356062,6.674187741,46,50,6,296,"F"
3.160364848,6.674205846,46,50,6,295,"F"
3.160364741,6.674214844,46,50,6,294,"F"
3.160373742,6.674214951,46,50,6,293,"F"
3.160382528,6.674233056,46,50,6,292,"F"
3.160391207,6.67426016,46,50,6,290,"F"
3.160400208,6.674260267,46,50,6,289,"G"
3.160399994,6.674278264,46,50,6,288,"G"
3.160408994,6.674278371,46,50,6,287,"G"
3.160408887,6.67428737,46,50,6,287,"G"
3.160417674,6.674305475,46,50,6,286,"G"
3.160426674,6.674305582,46,50,6,285,"F"
3.16043546,6.674323686,46,50,6,283,"F"
3.160435353,6.674332685,46,50,6,283,"G"
3.16045314,6.674350897,46,50,6,280,"G"
3.160461927,6.674369001,46,50,6,279,"F"
3.16046182,6.674378,46,50,6,279,"F"
3.160470713,6.674387106,46,50,6,277,"F"
3.160479499,6.674405211,46,50,6,276,"F"
3.1604885,6.674405318,46,50,6,275,"F"
3.160488393,6.674414316,46,50,6,275,"F"
3.160497179,6.674432421,46,50,6,273,"F"
3.16050618,6.674432528,46,50,6,272,"F"
3.160514966,6.674450633,46,50,6,271,"F"
3.160514859,6.674459632,46,50,6,270,"F"
3.160523753,6.674468737,46,50,6,269,"F"
3.160523646,6.674477736,46,50,6,269,"F"
3.160532539,6.674486842,46,50,6,268,"F"
3.160532432,6.674495841,46,50,6,268,"F"
3.160541432,6.674495948,46,50,6,267,"F"
3.160541325,6.674504947,46,50,6,266,"F"
3.160550219,6.674514052,46,50,6,265,"F"
3.160550112,6.674523051,46,50,6,265,"F"
3.160550005,6.67453205,46,50,6,265,"F"
3.160558898,6.674541156,46,50,6,264,"F"
3.160567578,6.674568259,46,50,6,262,"F"
3.160576578,6.674568366,46,50,6,261,"G"
3.160585364,6.674586471,46,50,6,260,"G"
3.160585257,6.67459547,46,50,6,259,"F"
3.160594044,6.674613575,46,50,6,258,"F"
3.16060283,6.674631679,46,50,6,257,"F"
3.160602723,6.674640678,46,50,6,256,"G"
3.160602616,6.674649677,46,50,6,256,"G"
3.160602509,6.674658676,46,50,6,256,"G"
3.160611403,6.674667782,46,50,6,255,"G"
3.160611296,6.67467678,46,50,6,255,"G"
3.160611189,6.674685779,46,50,6,255,"F"
3.160619975,6.674703884,46,50,6,253,"F"
3.160619868,6.674712883,46,50,6,253,"F"
3.160619654,6.67473088,46,50,6,253,"F"
3.160628334,6.674757984,46,50,6,252,"F"
3.160628227,6.674766983,46,50,6,251,"E"
3.160628013,6.67478498,46,50,6,251,"E"
3.160627906,6.674793979,46,50,6,251,"F"
3.160627692,6.674811977,46,50,6,251,"F"
3.160636585,6.674821083,46,50,6,250,"F"
3.160636478,6.674830082,46,50,6,250,"F"
3.160636371,6.67483908,46,50,6,250,"F"
3.16063605,6.674866077,46,50,6,249,"F"
3.160635729,6.674893073,46,50,6,249,"G"
3.160635515,6.674911071,46,50,6,249,"G"
3.160635408,6.67492007,46,51,6,249,"G"
3.160635087,6.674947066,46,51,6,249,"G"
3.160634766,6.674974063,46,51,6,249,"F"
3.160634659,6.674983062,46,51,6,249,"F"
3.160634445,6.675001059,46,51,6,249,"F"
3.160634231,6.675019057,46,51,6,249,"F"
3.160634017,6.675037055,46,51,6,249,"F"
3.16063391,6.675046054,46,51,6,248,"G"
3.160633696,6.675064051,46,51,6,249,"G"
3.160633589,6.67507305,46,51,6,249,"G"
3.160633482,6.675082049,46,51,6,249,"G"
3.160633268,6.675100047,46,51,6,249,"G"
3.160633054,6.675118044,46,51,6,249,"G"
3.160632947,6.675127043,46,51,6,249,"G"
3.160623625,6.675153933,46,51,6,250,"G"
